Sources;Periods;CO2 (mln kgs);CH4 (mln kgs);N2O (mln kgs)
Total stationary and mobile sources;1990;163600;1276,1;60,67
Total stationary and mobile sources;1991;172000;1292,18;61,34
Total stationary and mobile sources;1992;171700;1275,77;62,26
Total stationary and mobile sources;1993;171600;1257,9;63,21
Total stationary and mobile sources;1994;172400;1216,42;61,69
Total stationary and mobile sources;1995;173900;1186,69;61,19
Total stationary and mobile sources;1996;182900;1159,43;61,4
Total stationary and mobile sources;1997;175900;1093,24;60,5
Total stationary and mobile sources;1998;176800;1064,27;58,56
Total stationary and mobile sources;1999;171400;1013,2;56,31
Total stationary and mobile sources;2000;172500;968,48;54,09
Total stationary and mobile sources;2001;177600;942,35;51
Total stationary and mobile sources;2002;176900;896,71;47,95
Total stationary and mobile sources;2003;180300;865,78;47,55
Total stationary and mobile sources;2004;182200;849,54;48,79
Total stationary and mobile sources;2005;178300;790,77;48,62
Total stationary and mobile sources;2006;173400;772,85;48,89
Total stationary and mobile sources;2007;173200;774,7;43,57
Total stationary and mobile sources;2008;176100;783,93;30,99
Total stationary and mobile sources;2009;170800;777,18;30,44
Total stationary and mobile sources;2010;182800;774,32;29,47
Total stationary and mobile sources;2011;169600;751,61;28,75
Total stationary and mobile sources;2012;165900;734,93;28,15
Total stationary and mobile sources;2013;165300;734,22;28,89
Total stationary and mobile sources;2014;157900;716,72;29,32
Total stationary and mobile sources;2015;164300;724,75;30,08
Total stationary and mobile sources;2016;165100;729,57;29,05
Total stationary and mobile sources;2017;162700;716,56;29,86
Total stationary and mobile sources;2018;158600;692,67;29,14
Total stationary and mobile sources;2019;152900;688,28;28,73
Total stationary and mobile sources;2020;137100;677,63;28,15
Total stationary and mobile sources;2021;140400;668,4;27
"Stationary sources; total";1990;130600;1267,57;60,22
"Stationary sources; total";1991;138600;1284,73;60,79
"Stationary sources; total";1992;136900;1268,72;61,58
"Stationary sources; total";1993;136000;1251,15;62,43
"Stationary sources; total";1994;137100;1210,09;60,83
"Stationary sources; total";1995;138000;1180,5;60,24
"Stationary sources; total";1996;145800;1153,37;60,39
"Stationary sources; total";1997;138900;1087,64;59,49
"Stationary sources; total";1998;139100;1058,98;57,55
