Energy commodities;Sectors;Periods;From supply/Total Primary Energy Supply (PJ);From supply/Indigenous production (PJ);From supply/Receipts of energy (PJ);From supply/Deliveries of energy (-) (PJ);From supply/Stock change (PJ);From supply/Statistical differences (PJ);From consumption/Total energy consumption (PJ);From consumption/Energy transformation/Total net energy transformation (PJ);From consumption/Own use (PJ);From consumption/Distribution losses (PJ);From consumption/Final energy consumption (PJ);From consumption/Non-energy use (PJ)
Total energy commodities;Total energy sector and final users;1990;2828,2;2542,2;12231;11916,5;10,1;-38,7;2866,9;438,7;199;14,8;1799;415,5
Total energy commodities;Total energy sector and final users;1991;2938,3;2831,9;12052,6;11902,4;-8,3;-35,5;2973,8;433,5;211;16,7;1902,5;410,1
Total energy commodities;Total energy sector and final users;1992;2915,8;2839;11737;11584,5;-35,7;-40;2955,9;452,2;204,2;17,1;1871,4;411
Total energy commodities;Total energy sector and final users;1993;2976,5;2892,2;13017,2;12898,9;8,2;-42,1;3018,7;464,8;211,7;18,1;1928,7;395,4
Total energy commodities;Total energy sector and final users;1994;2991,1;2802,6;12525,3;12261,6;-39,5;-35,8;3026,8;474,3;211,7;18,9;1892,3;429,7
Total energy commodities;Total energy sector and final users;1995;3084,6;2815;12721,5;12506,1;76,6;-22,4;3107;467;210,1;19,6;1963,4;446,8
Total energy commodities;Total energy sector and final users;1996;3254,8;3146,7;13700,7;13555,1;-4,8;-32,7;3287,5;479,2;213,8;21;2128,1;445,4
Total energy commodities;Total energy sector and final users;1997;3148,2;2799,7;13868,3;13467,3;-27,6;-24,9;3173,1;479,6;204,4;20,3;2001,9;467
Total energy commodities;Total energy sector and final users;1998;3166,8;2688,6;14144,6;13607,5;-43,7;-15,2;3182;500,7;204,9;21,6;1999,4;455,4
Total energy commodities;Total energy sector and final users;1999;3107,5;2515,5;13809,8;13320,2;130,9;-28,5;3136;471,6;189,7;21,5;1995,2;458
Total energy commodities;Total energy sector and final users;2000;3146,4;2456,8;14907,6;14099,4;-107;-11,6;3158;488,1;187,5;22,2;1989,4;470,7
Total energy commodities;Total energy sector and final users;2001;3231;2573,9;15181,3;14537,1;14,3;-1,3;3232,3;530,8;189,2;22,9;2022,7;466,7
Total energy commodities;Total energy sector and final users;2002;3264,7;2574,9;15540,3;14899,6;39,1;10;3254,7;526,6;185,3;23,3;2019,9;499,6
Total energy commodities;Total energy sector and final users;2003;3374,2;2477,5;15760,8;14903,5;32,2;7,1;3367,1;544,3;187,4;23,7;2051,2;560,4
Total energy commodities;Total energy sector and final users;2004;3410,4;2863,3;16448,1;15860,2;-45,6;4,8;3405,6;554,1;195,2;24,6;2072,9;558,8
Total energy commodities;Total energy sector and final users;2005;3363,6;2622,3;16422,6;15616,6;-50,1;-14,5;3378,2;538;201,1;24,5;2049;565,6
Total energy commodities;Total energy sector and final users;2006;3323,7;2583,7;17068;16288,1;-43,1;3,2;3320,5;509,5;190,6;24,7;2037,1;558,6
Total energy commodities;Total energy sector and final users;2007;3316,1;2532,1;16644;15910,6;52,6;-2;3318;532,6;204,7;23,6;1998,1;559
Total energy commodities;Total energy sector and final users;2008;3283,7;2845,6;16910,8;16373;-96;-3,8;3287,5;520,3;196,6;23,4;2035,2;511,9
Total energy commodities;Total energy sector and final users;2009;3241,1;2646,2;16508,7;15905,9;4,1;-12;3253,1;531,2;191,3;22,8;1969,3;538,5
Total energy commodities;Total energy sector and final users;2010;3472,6;2990,2;17728,4;17246,2;12,5;-12,4;3485;541,6;197,5;24,4;2118,4;603,1
Total energy commodities;Total energy sector and final users;2011;3237,2;2794,2;17196,8;16839,8;99,2;-13,1;3250,3;508,9;209,8;22,6;1953,6;555,4
Total energy commodities;Total energy sector and final users;2012;3251,2;2787,5;17624,5;17059,1;-92,8;-9;3260,2;500,3;201,3;22,1;1963,9;572,5
Total energy commodities;Total energy sector and final users;2013;3165,3;2942,3;17118,2;16890,8;14,6;-19;3184,3;481;201,7;22;1957,1;522,5
Total energy commodities;Total energy sector and final users;2014;3010,1;2554;17146,7;16585,6;-86,3;-18,7;3028,7;521,2;198,2;20,9;1764,6;523,8
Total energy commodities;Total energy sector and final users;2015;3070,6;2034,6;19839,9;18647,3;-137,8;-18,7;3089,3;541;210,1;27,1;1801,4;509,7
Total energy commodities;Total energy sector and final users;2016;3123,8;1955,6;20168,4;19116;124,9;-9,1;3132,9;522,1;204,5;28,2;1845,3;532,8
Total energy commodities;Total energy sector and final users;2017;3149,2;1751,8;20327,7;19004,7;75,9;-1,3;3150,5;502,9;197,8;27,9;1851,4;570,4
Total energy commodities;Total energy sector and final users;2018;3099,4;1561,2;19965,2;18367,4;-64,9;5,5;3093,9;467,2;202,4;27,3;1865;532
Total energy commodities;Total energy sector and final users;2019;3045,2;1406,4;19991,4;18272,9;-84,7;5;3040,2;471;214;26,5;1830,8;497,9
Total energy commodities;Total energy sector and final users;2020;2949,6;1170,3;18475,5;16666,9;-52,1;22,8;2926,8;438,8;192,6;25,6;1731,9;537,9
Total energy commodities;Total energy sector and final users;2021**;3031,5;1131,7;18945,1;17520,9;464,3;11,4;3020,1;457,2;205,4;25,9;1795,3;536,2
Total energy commodities;Total energy sector and final users;2022**;2714,5;1034,4;19105,7;17045,3;-362,9;-17,3;2731,8;454,2;193,6;25,9;1626,5;431,6
Total energy commodities;Total energy sector;1990;591,7;2492,3;6641,2;8539,9;-1,9;;591,7;379,5;197,4;14,8;;
