; GDP; Per Capita; Growth;;;;;;;;;;;;;;
date; GDP ( Billions of US $); Per Capita (US $); Annual % Change;;;;;;;;;;;;;;
31/12/1960;12.276734172083;1068.7846;;;;;;;;;;;;;;;Macrotrends Data Download
31/12/1961;13.493833739995;1159.3924;0.2955;;;;;;;;;;;;;;
31/12/1962;14.647057370142;1240.6779;6.8435;;;;;;;;;;;;;;Netherlands GDP 1960-2023
31/12/1963;15.891241386291;1328.0366;3.6246;;;;;;;;;;;;;;
31/12/1964;18.699380731347;1541.9474;8.2749;;;;;;;;;;;;;;
31/12/1965;21.000586933204;1708.0964;8.6431;;;;;;;;;;;;;;"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY"
31/12/1966;22.867203317402;1835.8014;2.7411;;;;;;;;;;;;;;FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
31/12/1967;25.087562181322;1991.3607;5.28;;;;;;;;;;;;;;NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
31/12/1968;27.81760574325;2185.2487;6.4161;;;;;;;;;;;;;;FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.
31/12/1969;34.035946604181;2642.9561;6.4294;;;;;;;;;;;;;;
31/12/1970;38.164716625068;2927.0729;6.1402;;;;;;;;;;;;;;
31/12/1971;44.579122807018;3378.6148;4.317;;;;;;;;;;;;;;"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
31/12/1972;54.706557264488;4104.451;3.5339;;;;;;;;;;;;;;"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."
31/12/1973;71.840909664197;5345.5754;5.4442;;;;;;;;;;;;;;
31/12/1974;87.24341339454;6440.9784;3.4387;;;;;;;;;;;;;;
31/12/1975;100.24952335309;7335.509;0.002;;;;;;;;;;;;;;
31/12/1976;109.1687206201;7925.6881;4.4563;;;;;;;;;;;;;;
31/12/1977;127.0169902128;9166.8082;2.5204;;;;;;;;;;;;;;
31/12/1978;155.85969545732;11179.3896;2.6962;;;;;;;;;;;;;;
31/12/1979;179.66940569043;12798.5432;2.0142;;;;;;;;;;;;;;
31/12/1980;195.15209266238;13791.8623;1.3419;;;;;;;;;;;;;;
31/12/1981;164.13421708028;11520.4479;-0.7836;;;;;;;;;;;;;;
31/12/1982;158.47952793596;11072.6585;-1.2408;;;;;;;;;;;;;;
31/12/1983;153.44546598718;10680.359;2.07;;;;;;;;;;;;;;
31/12/1984;143.91266414835;9977.1602;3.0617;;;;;;;;;;;;;;
31/12/1985;143.84582271762;9926.13;2.5802;;;;;;;;;;;;;;
31/12/1986;200.86209570067;13783.8501;2.787;;;;;;;;;;;;;;
31/12/1987;245.04631092254;16709.5597;1.9312;;;;;;;;;;;;;;
31/12/1988;261.91050841788;17744.5014;3.4412;;;;;;;;;;;;;;
31/12/1989;258.336705809;17397.6917;4.4201;;;;;;;;;;;;;;
31/12/1990;318.33051192061;21290.8604;4.1832;;;;;;;;;;;;;;
31/12/1991;327.50032767562;21732.2308;2.4391;;;;;;;;;;;;;;
31/12/1992;362.96287218045;23904.0374;1.7061;;;;;;;;;;;;;;
31/12/1993;353.55016967252;23122.4108;1.2576;;;;;;;;;;;;;;
31/12/1994;379.13026032207;24646.3143;2.9611;;;;;;;;;;;;;;
31/12/1995;452.30167444414;29258.1343;3.116;;;;;;;;;;;;;;
31/12/1996;450.49019607843;29006.8094;3.4987;;;;;;;;;;;;;;
31/12/1997;416.81274000452;26700.5371;4.3291;;;;;;;;;;;;;;
31/12/1998;438.00822039547;27885.8084;4.6639;;;;;;;;;;;;;;
31/12/1999;447.04952304981;28272.6432;5.034;;;;;;;;;;;;;;
31/12/2000;417.47933744471;26214.4985;4.1956;;;;;;;;;;;;;;
31/12/2001;431.58685236969;26896.5481;2.327;;;;;;;;;;;;;;
31/12/2002;473.86198007098;29343.245;0.2173;;;;;;;;;;;;;;
31/12/2003;580.07036070196;35750.9747;0.1556;;;;;;;;;;;;;;
31/12/2004;658.38008154518;40436.6182;1.9849;;;;;;;;;;;;;;
31/12/2005;685.34818151595;41994.7135;2.0509;;;;;;;;;;;;;;
31/12/2006;733.95526989882;44900.9381;3.461;;;;;;;;;;;;;;
31/12/2007;848.55888754118;51799.2086;3.7728;;;;;;;;;;;;;;
31/12/2008;951.86999786406;57879.9438;2.1703;;;;;;;;;;;;;;
31/12/2009;871.51863804922;52722.2131;-3.6669;;;;;;;;;;;;;;
31/12/2010;847.38085901667;50999.7451;1.3427;;;;;;;;;;;;;;
31/12/2011;905.27062633269;54230.3129;1.5512;;;;;;;;;;;;;;
31/12/2012;838.92331991953;50070.1416;-1.0304;;;;;;;;;;;;;;
31/12/2013;877.17282453451;52198.8976;-0.1302;;;;;;;;;;;;;;
31/12/2014;892.16798671372;52900.5374;1.4234;;;;;;;;;;;;;;
31/12/2015;765.57277063438;45193.4032;1.9592;;;;;;;;;;;;;;
31/12/2016;784.06043024008;46039.1059;2.1917;;;;;;;;;;;;;;
31/12/2017;833.86964168706;48675.2223;2.9109;;;;;;;;;;;;;;
31/12/2018;914.04343817961;53044.5324;2.3609;;;;;;;;;;;;;;
31/12/2019;910.19434756863;52476.2733;1.9556;;;;;;;;;;;;;;
31/12/2020;909.79346666148;52162.5701;-3.8861;;;;;;;;;;;;;;
31/12/2021;1012.8467609767;57767.8788;4.8632;;;;;;;;;;;;;;
